Rec. Huelva,El decano
Sevilla,Nervionenses
Sevilla,Palanaganas
Ath. Bilbao,Leones
Barcelona,Cules
Espanyol,Periquitos
Real Madrid,Merengues
Real Madrid,Vikingos
Sabadell,Arlequinados
At. Madrid,Colchoneros
At. Madrid,Indios
Sporting Gijon,La mareona
Dptivo. Coruna,Superdepor
Dptivo. Coruna,Herculinos
Betis,Heliopolitanos
Betis,Verdolagas
Betis,Verderones
Murcia,Pimentoneros
Real Sociedad,Txuri urdines
Levante,Granotas
Cadiz,El submarino amarillo
Tenerife,Chicharreros
Rac. Santander,Montaneses
Mallorca,Bermellones
Valencia,Ches
Osasuna,Rojillos
Alaves,Babazorros
Castellon,Orelluts
Celta,Celtinas
Celta,Celtarras
Celta,Olivicos
Oviedo,Carbayones
Mirandes,Jabatos
Valladolid,Pucelanos
Leganes,Pepineros
Granada,Nazaries
Zaragoza,Blanquillos
Zaragoza,Avispas
Albacete,El queso mecanico
Eibar,Armeros
Numancia,Numantinos
Malaga,Boquerones
Malaga,Malaguistas
Malaga,Albicelestes
Malaga,Blanquiazules
Las Palmas,Pios pios
Cordoba,Califas
Alcorcon,Alfarreros
Getafe,Azulones
Burgos (Real),Rojipardillos
Burgos (Real),Matagigantes
Almeria,Indalicos
Malaga B,La Academia
Malaga B,Boquerones
Malaga B,Chanquetes
Malaga B,Blanquiazules
Malaga B,Malaguistas
Malaga B,Albicelestes
Malaga B,Albiazules
Granada 74,El 74
Palencia,Los Morados
Zaragoza B,Blanquillos
Zaragoza B,Manos
Zaragoza B,Leones
Villarreal B,Mini-submarino amarillo